sn,project_name,street_name,type,postal_district,market_segment,tenure,number_of_units,total_price,area_sq,type_of_area,floor_level,ppsf,date_of_sale
559,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,2888000,1572,Strata,06 to 10,1838,Mar-14
560,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,2872000,1572,Strata,01 to 05,1828,Mar-14
561,BOULEVARD VUE,CUSCADEN WALK,Condominium,10,CCR,Freehold,1,17892000,4489,Strata,16 to 20,3986,Mar-14
562,CORONATION GROVE,CORONATION ROAD,Condominium,10,CCR,999 yrs lease commencing from 1875,1,1980000,1249,Strata,01 to 05,1586,Mar-14
563,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,6600000,2454,Strata,06 to 10,2689,Mar-14
564,VERDURE,HOLLAND ROAD,Condominium,10,CCR,Freehold,1,2600000,1733,Strata,01 to 05,1500,Mar-14
565,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,1947000,969,Strata,06 to 10,2010,Mar-14
566,ROYALVILLE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,1465000,1012,Strata,01 to 05,1448,Mar-14
567,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,2150000,1206,Strata,01 to 05,1783,Mar-14
568,GALLOP GABLES,FARRER ROAD,Condominium,10,CCR,Freehold,1,5400000,3175,Strata,01 to 05,1701,Mar-14
569,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,2760888,1432,Strata,06 to 10,1929,Mar-14
570,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,2798000,1518,Strata,01 to 05,1844,Mar-14
571,LOFT@HOLLAND,HOLLAND ROAD,Apartment,10,CCR,Freehold,1,838000,323,Strata,01 to 05,2595,Mar-14
572,THE LEGACY,BUKIT TIMAH ROAD,Apartment,10,CCR,Freehold,1,1250000,764,Strata,01 to 05,1636,Mar-14
573,THE TRESOR,DUCHESS ROAD,Condominium,10,CCR,999 yrs lease commencing from 1875,1,1900000,1012,Strata,01 to 05,1878,Mar-14
574,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,3434000,1862,Strata,06 to 10,1844,Mar-14
575,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2141830,1485,Strata,01 to 05,1442,Mar-14
576,THE MERASAGA,JALAN MERAH SAGA,Condominium,10,CCR,99 yrs lease commencing from 1991,1,2200000,1399,Strata,01 to 05,1572,Mar-14
577,TANGLIN REGENCY,TANGLIN ROAD,Condominium,10,CCR,99 yrs lease commencing from 1994,1,1430000,1044,Strata,06 to 10,1370,Mar-14
578,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,3404000,1862,Strata,01 to 05,1828,Mar-14
579,THE MERCURY,SHANGHAI ROAD,Apartment,10,CCR,Freehold,1,1800000,1044,Strata,06 to 10,1724,Mar-14
580,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,1947000,969,Strata,06 to 10,2010,Mar-14
581,THE TESSARINA,WILBY ROAD,Condominium,10,CCR,Freehold,1,1980000,1313,Strata,01 to 05,1508,Mar-14
582,SUTTON PLACE,FARRER ROAD,Condominium,10,CCR,Freehold,1,1750000,1733,Strata,01 to 05,1010,Mar-14
583,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,1950000,990,Strata,01 to 05,1969,Mar-14
584,WING ON LIFE GARDEN,BUKIT TIMAH ROAD,Apartment,10,CCR,Freehold,1,5700000,3305,Strata,11 to 15,1725,Mar-14
585,SIXTH AVENUE VILLE,SIXTH AVENUE,Condominium,10,CCR,Freehold,1,3231800,2486,Strata,01 to 05,1300,Mar-14
586,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,2908000,1572,Strata,06 to 10,1850,Mar-14
587,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,2724000,1432,Strata,06 to 10,1903,Mar-14
588,TANGLIN PARK,RIDLEY PARK,Condominium,10,CCR,Freehold,1,2750000,1604,Strata,01 to 05,1715,Mar-14
589,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,3427000,1862,Strata,06 to 10,1840,Mar-14
590,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,2920000,1572,Strata,06 to 10,1858,Mar-14
591,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,5750000,2508,Strata,01 to 05,2293,Mar-14
592,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,6600000,2497,Strata,06 to 10,2643,Mar-14
593,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,4600000,1970,Strata,06 to 10,2335,Mar-14
594,LEEDON RESIDENCE,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,1,3791000,2131,Strata,01 to 05,1779,Mar-14
595,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,3490000,1862,Strata,01 to 05,1874,Mar-14
596,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,3479000,1862,Strata,06 to 10,1868,Mar-14
597,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,3462000,1862,Strata,06 to 10,1859,Mar-14
598,BOTANIKA,HOLLAND ROAD,Apartment,10,CCR,Freehold,1,3300000,1453,Strata,01 to 05,2271,Mar-14
599,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,1868000,969,Strata,01 to 05,1928,Mar-14
600,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,2749000,1432,Strata,06 to 10,1920,Mar-14
601,PALM SPRING,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,3980000,2659,Strata,01 to 05,1497,Mar-14
602,SECOND AVENUE JUNCTION,BUKIT TIMAH ROAD,Apartment,10,CCR,Freehold,1,2150000,1668,Strata,01 to 05,1289,Mar-14
603,HOLLANDIA,HOLLAND ROAD,Condominium,10,CCR,Freehold,1,1700000,1475,Strata,01 to 05,1153,Mar-14
604,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,1850000,969,Strata,01 to 05,1910,Mar-14
605,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,3462000,1862,Strata,06 to 10,1859,Mar-14
606,NATHAN SUITES,NATHAN ROAD,Condominium,10,CCR,Freehold,1,3800000,2034,Strata,16 to 20,1868,Mar-14
607,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1788000,861,Strata,01 to 05,2076,Feb-14
608,BELMOND GREEN,BALMORAL ROAD,Condominium,10,CCR,Freehold,1,1980000,1066,Strata,01 to 05,1858,Feb-14
609,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2681410,1582,Strata,26 to 30,1695,Feb-14
610,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1452350,775,Strata,01 to 05,1874,Feb-14
611,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,4800000,1970,Strata,06 to 10,2437,Feb-14
612,HOLLAND RESIDENCES,TAMAN WARNA,Condominium,10,CCR,Freehold,1,2400000,1356,Strata,01 to 05,1770,Feb-14
613,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,4108810,4155,Strata,01 to 05,989,Feb-14
614,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1235000,549,Strata,01 to 05,2250,Feb-14
615,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,2855000,1572,Strata,01 to 05,1817,Feb-14
616,BOTANIC GARDENS VIEW,TAMAN SERASI,Apartment,10,CCR,Freehold,1,2288800,1259,Strata,06 to 10,1817,Feb-14
617,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1266110,614,Strata,01 to 05,2064,Feb-14
618,FOUR SEASONS PARK,CUSCADEN WALK,Condominium,10,CCR,Freehold,1,5000000,2153,Strata,01 to 05,2323,Feb-14
619,THE SIENA,TAN KIM CHENG ROAD,Apartment,10,CCR,99 yrs lease commencing from 2013,1,1756770,753,Strata,01 to 05,2332,Feb-14
620,MARTINA MANSIONS,BUKIT TIMAH ROAD,Apartment,10,CCR,Freehold,1,1980000,1259,Strata,01 to 05,1572,Feb-14
621,LEEDON RESIDENCE,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,1,4804119,2659,Strata,01 to 05,1807,Feb-14
622,CUSCADEN RESIDENCES,CUSCADEN ROAD,Condominium,10,CCR,Freehold,1,3000000,1442,Strata,11 to 15,2080,Feb-14
623,PALM SPRING,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,3100000,2131,Strata,01 to 05,1455,Feb-14
624,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,7779420,3929,Strata,01 to 05,1980,Feb-14
625,MON JERVOIS,JERVOIS ROAD,Condominium,10,CCR,99 yrs lease commencing from 2012,1,1738000,893,Strata,01 to 05,1945,Feb-14
626,THE TESSARINA,WILBY ROAD,Condominium,10,CCR,Freehold,1,1850000,1335,Strata,06 to 10,1386,Feb-14
627,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1521330,775,Strata,01 to 05,1963,Feb-14
628,ROBIN SUITES,ROBIN ROAD,Apartment,10,CCR,Freehold,1,1111812,441,Strata,11 to 15,2519,Feb-14
629,RIDGEWOOD,RIDGEWOOD CLOSE,Condominium,10,CCR,999 yrs lease commencing from 1885,1,1500000,1206,Strata,21 to 25,1244,Feb-14
630,OLINA LODGE,HOLLAND HILL,Condominium,10,CCR,Freehold,1,1800000,1324,Strata,01 to 05,1360,Feb-14
631,CHELSEA GARDENS,WALSHE ROAD,Condominium,10,CCR,Freehold,1,3438000,2228,Strata,01 to 05,1543,Feb-14
632,QUINTERRA,HOLLAND ROAD,Apartment,10,CCR,99 yrs lease commencing from 2006,1,2170000,1679,Strata,06 to 10,1292,Feb-14
633,MON JERVOIS,JERVOIS ROAD,Condominium,10,CCR,99 yrs lease commencing from 2012,1,2885000,2325,Strata,01 to 05,1241,Feb-14
634,ONE JERVOIS,JERVOIS CLOSE,Condominium,10,CCR,Freehold,1,4600000,2777,Strata,11 to 15,1656,Feb-14
635,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1286710,614,Strata,01 to 05,2097,Feb-14
636,BALMORAL 8,BALMORAL ROAD,Condominium,10,CCR,Freehold,1,4900000,2928,Strata,06 to 10,1674,Jan-14
637,THE TRIZON,RIDGEWOOD CLOSE,Condominium,10,CCR,Freehold,1,3150000,2207,Strata,01 to 05,1428,Jan-14
638,RIDGEWOOD,MOUNT SINAI RISE,Condominium,10,CCR,999 yrs lease commencing from 1885,1,2000000,1744,Strata,11 to 15,1147,Jan-14
639,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2317860,1281,Strata,26 to 30,1810,Jan-14
640,LEEDON RESIDENCE,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,1,4494020,2110,Strata,06 to 10,2130,Jan-14
641,LEEDON RESIDENCE,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,1,4316529,2110,Strata,06 to 10,2046,Jan-14
642,VALLEY PARK,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1860000,1216,Strata,11 to 15,1529,Jan-14
643,8 NAPIER,NAPIER ROAD,Condominium,10,CCR,Freehold,1,8608700,2777,Strata,06 to 10,3100,Jan-14
644,CASA JERVOIS,JERVOIS ROAD,Apartment,10,CCR,Freehold,1,1925000,1227,Strata,01 to 05,1569,Jan-14
645,8 NAPIER,NAPIER ROAD,Condominium,10,CCR,Freehold,1,8391300,2777,Strata,06 to 10,3022,Jan-14
646,KELLOCK LODGE,KELLOCK ROAD,Apartment,10,CCR,Freehold,1,1250000,893,Strata,06 to 10,1399,Jan-14
647,ROBIN SUITES,ROBIN ROAD,Apartment,10,CCR,Freehold,1,1239700,441,Strata,06 to 10,2809,Jan-14
648,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2183310,1496,Strata,11 to 15,1459,Jan-14
649,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2597850,1496,Strata,26 to 30,1736,Jan-14
650,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1291860,614,Strata,01 to 05,2106,Jan-14
651,GALLOP GABLES,FARRER ROAD,Condominium,10,CCR,Freehold,1,4800000,2842,Strata,01 to 05,1689,Jan-14
652,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,939720,452,Strata,06 to 10,2079,Jan-14
653,GOODWOOD GARDENS,BALMORAL CRESCENT,Apartment,10,CCR,Freehold,1,2125000,1076,Strata,06 to 10,1974,Jan-14
654,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1533690,775,Strata,06 to 10,1979,Jan-14
655,SOMMERVILLE PARK,SOMMERVILLE ESTATE ROAD,Condominium,10,CCR,Freehold,1,2450000,1647,Strata,-,1488,Jan-14
656,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1464000,775,Strata,01 to 05,1889,Jan-14
657,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1527510,775,Strata,06 to 10,1971,Jan-14
658,DUCHESS CREST,DUCHESS AVENUE,Condominium,10,CCR,99 yrs lease commencing from 1995,1,2200000,1733,Strata,01 to 05,1269,Jan-14
659,VIZ AT HOLLAND,QUEENSWAY,Condominium,10,CCR,Freehold,1,1430000,947,Strata,01 to 05,1510,Jan-14
660,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2024100,1367,Strata,16 to 20,1481,Jan-14
661,NATHAN PLACE,NATHAN ROAD,Condominium,10,CCR,Freehold,1,2415600,1464,Strata,01 to 05,1650,Jan-14
662,STUDIO 3,SHANGHAI ROAD,Apartment,10,CCR,Freehold,1,1060000,549,Strata,06 to 10,1931,Jan-14
663,BOULEVARD VUE,CUSCADEN WALK,Condominium,10,CCR,Freehold,1,16646300,4499,Strata,16 to 20,3700,Jan-14
664,THE FORD @ HOLLAND,FORD AVENUE,Condominium,10,CCR,Freehold,1,1100000,560,Strata,01 to 05,1965,Jan-14
665,GOODWOOD GRAND,BALMORAL ROAD,Apartment,10,CCR,Freehold,1,4369000,2142,Strata,11 to 15,2040,Jan-14
666,MON JERVOIS,JERVOIS ROAD,Condominium,10,CCR,99 yrs lease commencing from 2012,1,3000000,1561,Strata,01 to 05,1922,Jan-14
667,THE SOLITAIRE,BALMORAL PARK,Condominium,10,CCR,Freehold,1,3000000,1625,Strata,06 to 10,1846,Jan-14
668,THE TRIZON,RIDGEWOOD CLOSE,Condominium,10,CCR,Freehold,1,3425000,2185,Strata,01 to 05,1567,Jan-14
669,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,953660,452,Strata,01 to 05,2109,Jan-14
670,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,7230000,2723,Strata,11 to 15,2655,Jan-14
671,THE BOULEVARD RESIDENCE,CUSCADEN WALK,Apartment,10,CCR,Freehold,1,5660000,2034,Strata,26 to 30,2782,Jan-14
672,THE MARBELLA,MOUNT SINAI RISE,Condominium,10,CCR,Freehold,1,2880000,1744,Strata,11 to 15,1652,Jan-14
673,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1428440,689,Strata,01 to 05,2074,Jan-14
674,ST MARTIN RESIDENCE,ST. MARTIN'S DRIVE,Condominium,10,CCR,Freehold,1,5180000,2982,Strata,01 to 05,1737,Jan-14
675,ROBIN SUITES,ROBIN ROAD,Apartment,10,CCR,Freehold,1,1093359,441,Strata,11 to 15,2477,Dec-13
676,GOODWOOD GRAND,BALMORAL ROAD,Apartment,10,CCR,Freehold,1,2152447,893,Strata,06 to 10,2409,Dec-13
677,CASABELLA,DUCHESS AVENUE,Condominium,10,CCR,Freehold,1,2668000,1776,Strata,01 to 05,1502,Dec-13
678,GOODWOOD GRAND,BALMORAL ROAD,Apartment,10,CCR,Freehold,1,2792646,1227,Strata,06 to 10,2276,Dec-13
679,LEEDON RESIDENCE,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,1,6207030,2669,Strata,01 to 05,2325,Dec-13
680,GOODWOOD GRAND,BALMORAL ROAD,Apartment,10,CCR,Freehold,1,2851551,1227,Strata,06 to 10,2324,Dec-13
681,GOODWOOD GRAND,BALMORAL ROAD,Apartment,10,CCR,Freehold,1,2831919,1227,Strata,06 to 10,2308,Dec-13
682,GOODWOOD GRAND,BALMORAL ROAD,Apartment,10,CCR,Freehold,1,2188173,893,Strata,06 to 10,2449,Dec-13
683,THE LEGEND,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,2060000,1421,Strata,06 to 10,1450,Dec-13
684,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,1020000,592,Strata,01 to 05,1723,Dec-13
685,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,2244340,1163,Strata,06 to 10,1931,Dec-13
686,THE TRIZON,RIDGEWOOD CLOSE,Condominium,10,CCR,Freehold,1,3587000,2314,Strata,11 to 15,1550,Dec-13
687,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1213208,592,Strata,01 to 05,2049,Dec-13
688,HOLLAND PEAK,HOLLAND HILL,Condominium,10,CCR,Freehold,1,3700000,2594,Strata,06 to 10,1426,Dec-13
689,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1439100,689,Strata,01 to 05,2089,Dec-13
690,RIDGEWOOD,RIDGEWOOD CLOSE,Condominium,10,CCR,999 yrs lease commencing from 1885,1,2000000,1744,Strata,21 to 25,1147,Dec-13
691,BISHOPSGATE RESIDENCES,BISHOPSGATE,Condominium,10,CCR,Freehold,1,10686200,3143,Strata,01 to 05,3400,Dec-13
692,LEEDON RESIDENCE,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,1,5602041,2131,Strata,06 to 10,2628,Dec-13
693,DUCHESS MANOR,DUCHESS ROAD,Condominium,10,CCR,999 yrs lease commencing from 1875,1,2820000,3154,Strata,01 to 05,894,Dec-13
694,LEEDON RESIDENCE,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,1,5722515,2131,Strata,06 to 10,2685,Dec-13
695,RV EDGE,SHANGHAI ROAD,Apartment,10,CCR,Freehold,1,895000,420,Strata,01 to 05,2132,Dec-13
696,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,918400,452,Strata,01 to 05,2031,Dec-13
697,THE TRIZON,RIDGEWOOD CLOSE,Condominium,10,CCR,Freehold,1,3471000,2314,Strata,01 to 05,1500,Dec-13
698,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,930700,452,Strata,01 to 05,2059,Dec-13
699,DUCHESS CREST,DUCHESS AVENUE,Condominium,10,CCR,99 yrs lease commencing from 1995,1,1840000,1346,Strata,01 to 05,1368,Dec-13
700,HOLLAND COURT,HOLLAND ROAD,Apartment,10,CCR,Freehold,1,3000000,1948,Strata,01 to 05,1540,Dec-13
701,TANGLIN REGENCY,TANGLIN ROAD,Condominium,10,CCR,99 yrs lease commencing from 1994,1,1677000,1292,Strata,11 to 15,1298,Dec-13
702,ALLSWORTH PARK,HOLLAND ROAD,Condominium,10,CCR,999 yrs lease commencing from 1885,1,3280000,1959,Strata,01 to 05,1674,Dec-13
703,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1762910,947,Strata,01 to 05,1861,Dec-13
704,HOLLAND SUITES,HOLLAND ROAD,Apartment,10,CCR,Freehold,1,1550000,1044,Strata,01 to 05,1485,Dec-13
705,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,1942760,1356,Strata,06 to 10,1432,Dec-13
706,THE TESSARINA,WILBY ROAD,Condominium,10,CCR,Freehold,1,1475000,947,Strata,01 to 05,1557,Dec-13
707,THE TRIZON,RIDGEWOOD CLOSE,Condominium,10,CCR,Freehold,1,2520000,1346,Strata,21 to 25,1873,Dec-13
708,BELMOND GREEN,BALMORAL ROAD,Condominium,10,CCR,Freehold,1,1720000,969,Strata,06 to 10,1775,Dec-13
709,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,1931030,1141,Strata,01 to 05,1692,Dec-13
710,ST REGIS RESIDENCES SINGAPORE,TANGLIN ROAD,Apartment,10,CCR,999 yrs lease commencing from 1995,1,8080000,3757,Strata,06 to 10,2151,Dec-13
711,GOODWOOD GRAND,BALMORAL ROAD,Apartment,10,CCR,Freehold,3,13008505,5845,Strata,11 to 15,2226,Dec-13
712,RV EDGE,SHANGHAI ROAD,Apartment,10,CCR,Freehold,1,930000,495,Strata,01 to 05,1878,Dec-13
713,NASSIM PARK RESIDENCES,NASSIM ROAD,Condominium,10,CCR,Freehold,1,12000000,3477,Strata,01 to 05,3451,Dec-13
714,GOODWOOD GRAND,BALMORAL ROAD,Apartment,10,CCR,Freehold,1,2812000,1227,Strata,06 to 10,2292,Dec-13
715,SPANISH VILLAGE,FARRER ROAD,Condominium,10,CCR,Freehold,1,2002000,1615,Strata,01 to 05,1240,Dec-13
716,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,2011300,1195,Strata,01 to 05,1683,Dec-13
717,VALLEY PARK,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1200000,861,Strata,06 to 10,1394,Dec-13
718,KELLOCK LODGE,KELLOCK ROAD,Apartment,10,CCR,Freehold,1,1638888,1206,Strata,01 to 05,1359,Dec-13
719,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1145790,592,Strata,01 to 05,1935,Dec-13
720,MUTIARA VIEW,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1760000,1173,Strata,06 to 10,1500,Dec-13
721,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1458530,775,Strata,01 to 05,1882,Dec-13
722,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1746430,947,Strata,01 to 05,1844,Dec-13
723,ASTRID MEADOWS,CORONATION ROAD WEST,Condominium,10,CCR,Freehold,1,4728000,2745,Strata,06 to 10,1723,Dec-13
724,ONE JERVOIS,JERVOIS CLOSE,Condominium,10,CCR,Freehold,1,2400000,1496,Strata,01 to 05,1604,Dec-13
725,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2132310,1496,Strata,06 to 10,1425,Dec-13
726,GOODWOOD GRAND,BALMORAL ROAD,Apartment,10,CCR,Freehold,1,2463840,1044,Strata,06 to 10,2360,Dec-13
727,VALLEY PARK,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1800000,1216,Strata,16 to 20,1480,Dec-13
728,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1354640,678,Strata,01 to 05,1998,Dec-13
729,SOMMERVILLE GRANDEUR,FARRER DRIVE,Condominium,10,CCR,Freehold,1,2750000,1841,Strata,01 to 05,1494,Dec-13
730,ZENITH,ZION ROAD,Apartment,10,CCR,999 yrs lease commencing from 1877,1,1110000,560,Strata,06 to 10,1983,Dec-13
731,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1171540,592,Strata,06 to 10,1979,Dec-13
732,ASTRIDVILLE,JALAN AMPANG,Condominium,10,CCR,Freehold,1,2960000,2433,Strata,-,1217,Dec-13
733,CLUNY PARK RESIDENCE,CLUNY PARK ROAD,Condominium,10,CCR,Freehold,1,5300000,1960,Strata,01 to 05,2704,Nov-13
734,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1166390,592,Strata,06 to 10,1970,Nov-13
735,NASSIM PARK RESIDENCES,NASSIM ROAD,Condominium,10,CCR,Freehold,1,13170800,3466,Strata,01 to 05,3800,Nov-13
736,MON JERVOIS,JERVOIS ROAD,Condominium,10,CCR,99 yrs lease commencing from 2012,1,3289000,1518,Strata,01 to 05,2167,Nov-13
737,GALLOP GREEN,WOOLLERTON PARK,Condominium,10,CCR,Freehold,1,8500000,4402,Strata,01 to 05,1931,Nov-13
738,ONE CHATSWORTH,CHATSWORTH ROAD,Apartment,10,CCR,Freehold,1,5800000,3401,Strata,06 to 10,1705,Nov-13
739,THE GRANGE,GRANGE GARDEN,Condominium,10,CCR,Freehold,1,3700000,1744,Strata,06 to 10,2122,Nov-13
740,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,926600,452,Strata,01 to 05,2050,Nov-13
741,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1383340,678,Strata,06 to 10,2040,Nov-13
742,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,2149300,1141,Strata,06 to 10,1884,Nov-13
743,CLUNY PARK RESIDENCE,CLUNY PARK ROAD,Condominium,10,CCR,Freehold,1,5120000,1690,Strata,01 to 05,3030,Nov-13
744,DUCHESS CREST,DUCHESS AVENUE,Condominium,10,CCR,99 yrs lease commencing from 1995,1,1785000,1367,Strata,01 to 05,1306,Nov-13
745,ROBIN SUITES,ROBIN ROAD,Apartment,10,CCR,Freehold,8,10544873,3595,Strata,16 to 20,2933,Nov-13
746,ONE JERVOIS,JERVOIS CLOSE,Condominium,10,CCR,Freehold,1,1780000,990,Strata,06 to 10,1797,Nov-13
747,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,3574160,2153,Strata,26 to 30,1660,Nov-13
748,GLENTREES,MOUNT SINAI LANE,Condominium,10,CCR,999 yrs lease commencing from 1885,1,1975000,1442,Strata,01 to 05,1369,Nov-13
749,TANGLIN REGENCY,TANGLIN ROAD,Condominium,10,CCR,99 yrs lease commencing from 1994,1,1585000,1259,Strata,06 to 10,1259,Nov-13
750,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,2208840,1206,Strata,11 to 15,1832,Nov-13
751,RIDGEWOOD,MOUNT SINAI DRIVE,Condominium,10,CCR,999 yrs lease commencing from 1885,1,2730000,2002,Strata,11 to 15,1364,Nov-13
752,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1297010,614,Strata,01 to 05,2114,Nov-13
753,CYAN,KENG CHIN ROAD,Condominium,10,CCR,Freehold,1,3050000,1475,Strata,11 to 15,2068,Nov-13
754,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2050790,1453,Strata,01 to 05,1411,Nov-13
