sn,project_name,street_name,type,postal_district,market_segment,tenure,number_of_units,total_price,area_sq,type_of_area,floor_level,ppsf,date_of_sale
44,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2706400,1755,Strata,31 to 35,1543,Dec-14
45,THE TOMLINSON,CUSCADEN ROAD,Apartment,10,CCR,Freehold,1,5000000,2368,Strata,01 to 05,2111,Dec-14
46,ONE DUCHESS,DUCHESS ROAD,Apartment,10,CCR,999 yrs lease commencing from 1875,1,1626465,775,Strata,01 to 05,2099,Dec-14
47,HOLLAND MEWS,HOLLAND ROAD,Apartment,10,CCR,Freehold,1,1880000,1249,Strata,01 to 05,1506,Dec-14
48,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1400000,689,Strata,01 to 05,2032,Dec-14
49,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1466000,700,Strata,01 to 05,2095,Dec-14
50,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1475000,700,Strata,06 to 10,2108,Dec-14
51,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2725400,1755,Strata,31 to 35,1553,Dec-14
52,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,1005000,614,Strata,01 to 05,1638,Dec-14
53,WILLYN VILLE,HOLLAND AVENUE,Apartment,10,CCR,Freehold,1,1550000,1141,Strata,01 to 05,1358,Dec-14
54,THE TRIZON,RIDGEWOOD CLOSE,Condominium,10,CCR,Freehold,1,3000000,2067,Strata,16 to 20,1452,Dec-14
55,THE TESSARINA,WILBY ROAD,Condominium,10,CCR,Freehold,1,4100000,3358,Strata,06 to 10,1221,Dec-14
56,DRAYCOTT EIGHT,DRAYCOTT PARK,Condominium,10,CCR,99 yrs lease commencing from 1997,1,5750000,2863,Strata,06 to 10,2008,Dec-14
57,THE GRANGE,GRANGE GARDEN,Condominium,10,CCR,Freehold,1,3550000,1744,Strata,16 to 20,2036,Dec-14
58,BOTANIKA,HOLLAND ROAD,Apartment,10,CCR,Freehold,1,3200000,1636,Strata,01 to 05,1956,Dec-14
59,CYAN,KENG CHIN ROAD,Condominium,10,CCR,Freehold,1,3190000,1528,Strata,11 to 15,2087,Dec-14
60,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,2900000,1572,Strata,01 to 05,1845,Dec-14
61,MON JERVOIS,JERVOIS ROAD,Condominium,10,CCR,99 yrs lease commencing from 2012,1,1875000,893,Strata,01 to 05,2099,Dec-14
62,ROBIN RESIDENCES,ROBIN DRIVE,Condominium,10,CCR,Freehold,1,2414000,1012,Strata,01 to 05,2386,Dec-14
63,ROBIN RESIDENCES,ROBIN DRIVE,Condominium,10,CCR,Freehold,1,1980000,829,Strata,01 to 05,2389,Dec-14
64,BOTANIC GARDENS MANSION,TAMAN SERASI,Apartment,10,CCR,Freehold,1,2755000,1755,Strata,06 to 10,1570,Dec-14
65,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2957500,2034,Strata,21 to 25,1454,Dec-14
66,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2486200,1496,Strata,31 to 35,1662,Dec-14
67,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,6560300,2497,Strata,01 to 05,2627,Dec-14
68,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2646900,1744,Strata,26 to 30,1518,Dec-14
69,THE GRANGE,GRANGE GARDEN,Condominium,10,CCR,Freehold,1,4200000,2293,Strata,01 to 05,1832,Dec-14
70,NASSIM PARK RESIDENCES,NASSIM ROAD,Condominium,10,CCR,Freehold,1,13700000,3477,Strata,01 to 05,3940,Dec-14
71,MARTINA MANSIONS,BUKIT TIMAH ROAD,Apartment,10,CCR,Freehold,1,1985000,1259,Strata,06 to 10,1576,Dec-14
72,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2569400,1582,Strata,31 to 35,1624,Dec-14
73,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2409500,1421,Strata,26 to 30,1696,Dec-14
74,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2608400,1744,Strata,26 to 30,1496,Dec-14
75,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2665600,1744,Strata,26 to 30,1529,Dec-14
76,NASSIM MANSION,NASSIM HILL,Apartment,10,CCR,Freehold,1,8362500,2852,Strata,01 to 05,2932,Dec-14
77,BELMOND GREEN,BALMORAL ROAD,Condominium,10,CCR,Freehold,1,2300000,1270,Strata,11 to 15,1811,Dec-14
78,GALLOP GREEN,WOOLLERTON PARK,Condominium,10,CCR,Freehold,1,5824160,3272,Strata,01 to 05,1780,Dec-14
79,ORANGE GROVE RESIDENCES,ORANGE GROVE ROAD,Condominium,10,CCR,Freehold,1,4500000,2400,Strata,01 to 05,1875,Dec-14
80,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,3291200,2217,Strata,26 to 30,1484,Dec-14
81,SOMMERVILLE PARK,FARRER DRIVE,Condominium,10,CCR,Freehold,1,1980000,1302,Strata,11 to 15,1520,Dec-14
82,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,3756300,2422,Strata,31 to 35,1551,Dec-14
83,THE LEVELZ,FARRER ROAD,Condominium,10,CCR,Freehold,1,1550000,980,Strata,11 to 15,1582,Dec-14
84,ARDMORE PARK,ARDMORE PARK,Condominium,10,CCR,Freehold,1,7500000,2885,Strata,01 to 05,2600,Dec-14
85,ARDMORE PARK,ARDMORE PARK,Condominium,10,CCR,Freehold,1,8100000,2885,Strata,01 to 05,2808,Dec-14
86,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,943000,452,Strata,01 to 05,2086,Dec-14
87,ROBIN RESIDENCES,ROBIN DRIVE,Condominium,10,CCR,Freehold,1,970000,409,Strata,01 to 05,2371,Dec-14
88,RIDGEWOOD,MOUNT SINAI DRIVE,Condominium,10,CCR,999 yrs lease commencing from 1885,1,2150000,1722,Strata,06 to 10,1248,Dec-14
89,LATITUDE,JALAN MUTIARA,Condominium,10,CCR,Freehold,1,2680000,1324,Strata,21 to 25,2024,Dec-14
90,DUCHESS MANOR,DUCHESS ROAD,Condominium,10,CCR,999 yrs lease commencing from 1875,1,1880000,1119,Strata,01 to 05,1679,Dec-14
91,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1325120,678,Strata,01 to 05,1954,Dec-14
92,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,1013100,614,Strata,01 to 05,1651,Dec-14
93,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,1936800,1076,Strata,31 to 35,1799,Dec-14
94,ROBIN RESIDENCES,ROBIN DRIVE,Condominium,10,CCR,Freehold,1,1278000,549,Strata,01 to 05,2328,Dec-14
95,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1400000,872,Strata,01 to 05,1606,Dec-14
96,MONTVIEW,MOUNT SINAI DRIVE,Condominium,10,CCR,Freehold,1,2500000,1744,Strata,21 to 25,1434,Dec-14
97,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2716700,1733,Strata,31 to 35,1568,Dec-14
98,ASTRID MEADOWS,CORONATION ROAD WEST,Condominium,10,CCR,Freehold,1,2300000,1356,Strata,01 to 05,1696,Dec-14
99,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,4810000,1970,Strata,01 to 05,2442,Dec-14
100,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,2888000,1572,Strata,01 to 05,1838,Dec-14
101,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2729300,1733,Strata,31 to 35,1575,Dec-14
